id;family;Demotext (Description, if available);type;Showtype;category;defSubset;Subset;License;vendor;Link;Nice Name;selector;Option field
roboto;Roboto;;100;Thin;sans-serif;latin;Latin;Apache License V2.0;Google Fonts;https://fonts.google.com/specimen/Roboto;Roboto Thin (Sans-Serif, Latin);roboto-latin-100;Roboto Thin (Sans-Serif, Latin) : roboto-latin-100
roboto;Roboto;;100;Thin;sans-serif;vietnamese;Vietnamese;Apache License V2.0;Google Fonts;https://fonts.google.com/specimen/Roboto;Roboto Thin (Sans-Serif, Vietnamese);roboto-vietnamese-100;Roboto Thin (Sans-Serif, Vietnamese) : roboto-vietnamese-100
roboto;Roboto;;100;Thin;sans-serif;cyrillic-ext_cyrillic;Cyrillic Ext;Apache License V2.0;Google Fonts;https://fonts.google.com/specimen/Roboto;Roboto Thin (Sans-Serif, Cyrillic Ext);roboto-cyrillic-ext_cyrillic-100;Roboto Thin (Sans-Serif, Cyrillic Ext) : roboto-cyrillic-ext_cyrillic-100
roboto;Roboto;;100;Thin;sans-serif;latin-ext;Latin Ext;Apache License V2.0;Google Fonts;https://fonts.google.com/specimen/Roboto;Roboto Thin (Sans-Serif, Latin Ext);roboto-latin-ext-100;Roboto Thin (Sans-Serif, Latin Ext) : roboto-latin-ext-100
roboto;Roboto;;100;Thin;sans-serif;greek_greek-ext;Greek Ext;Apache License V2.0;Google Fonts;https://fonts.google.com/specimen/Roboto;Roboto Thin (Sans-Serif, Greek Ext);roboto-greek_greek-ext-100;Roboto Thin (Sans-Serif, Greek Ext) : roboto-greek_greek-ext-100
roboto;Roboto;;300;Light;sans-serif;latin;Latin;Apache License V2.0;Google Fonts;https://fonts.google.com/specimen/Roboto;Roboto Light (Sans-Serif, Latin);roboto-latin-300;Roboto Light (Sans-Serif, Latin) : roboto-latin-300
roboto;Roboto;;300;Light;sans-serif;vietnamese;Vietnamese;Apache License V2.0;Google Fonts;https://fonts.google.com/specimen/Roboto;Roboto Light (Sans-Serif, Vietnamese);roboto-vietnamese-300;Roboto Light (Sans-Serif, Vietnamese) : roboto-vietnamese-300
roboto;Roboto;;300;Light;sans-serif;cyrillic-ext_cyrillic;Cyrillic Ext;Apache License V2.0;Google Fonts;https://fonts.google.com/specimen/Roboto;Roboto Light (Sans-Serif, Cyrillic Ext);roboto-cyrillic-ext_cyrillic-300;Roboto Light (Sans-Serif, Cyrillic Ext) : roboto-cyrillic-ext_cyrillic-300
roboto;Roboto;;300;Light;sans-serif;latin-ext;Latin Ext;Apache License V2.0;Google Fonts;https://fonts.google.com/specimen/Roboto;Roboto Light (Sans-Serif, Latin Ext);roboto-latin-ext-300;Roboto Light (Sans-Serif, Latin Ext) : roboto-latin-ext-300
roboto;Roboto;;300;Light;sans-serif;greek_greek-ext;Greek Ext;Apache License V2.0;Google Fonts;https://fonts.google.com/specimen/Roboto;Roboto Light (Sans-Serif, Greek Ext);roboto-greek_greek-ext-300;Roboto Light (Sans-Serif, Greek Ext) : roboto-greek_greek-ext-300
alegreya-sans;Alegreya Sans;;500;Medium;sans-serif;latin;Latin;SIL Open Fonts License 1.1;Google Fonts;https://fonts.google.com/specimen/Alegreya+Sans;Alegreya Sans Medium (Sans-Serif, Latin);alegreya-sans-latin-500;Alegreya Sans Medium (Sans-Serif, Latin) : alegreya-sans-latin-500
alegreya-sans-sc;Alegreya Sans SC;;500;Medium;sans-serif;latin;Latin;SIL Open Fonts License 1.1;Google Fonts;https://fonts.google.com/specimen/Alegreya+Sans+SC;Alegreya Sans SC Medium (Sans-Serif, Latin);alegreya-sans-sc-latin-500;Alegreya Sans SC Medium (Sans-Serif, Latin) : alegreya-sans-sc-latin-500
barlow;Barlow;;500;Medium;sans-serif;latin;Latin;SIL Open Fonts License 1.1;Google Fonts;https://fonts.google.com/specimen/Barlow;Barlow Medium (Sans-Serif, Latin);barlow-latin-500;Barlow Medium (Sans-Serif, Latin) : barlow-latin-500
barlow-condensed;Barlow Condensed;;500;Medium;sans-serif;latin;Latin;SIL Open Fonts License 1.1;Google Fonts;https://fonts.google.com/specimen/Barlow+Condensed;Barlow Condensed Medium (Sans-Serif, Latin);barlow-condensed-latin-500;Barlow Condensed Medium (Sans-Serif, Latin) : barlow-condensed-latin-500
barlow-condensed;Barlow Condensed;;500;Medium;serif;latin;Latin;SIL Open Fonts License 1.1;Google Fonts;https://fonts.google.com/specimen/Barlow+Condensed;Barlow Condensed Medium (Serif, Latin);barlow-condensed-latin-500;Barlow Condensed Medium (Serif, Latin) : barlow-condensed-latin-500
barlow-semi-condensed;Barlow Semi Condensed;;500;Medium;sans-serif;latin;Latin;SIL Open Fonts License 1.1;Google Fonts;https://fonts.google.com/specimen/Barlow+Semi+Condensed;Barlow Semi Condensed Medium (Sans-Serif, Latin);barlow-semi-condensed-latin-500;Barlow Semi Condensed Medium (Sans-Serif, Latin) : barlow-semi-condensed-latin-500
exo;Exo;;500;Medium;sans-serif;latin;Latin;SIL Open Fonts License 1.1;Google Fonts;https://fonts.google.com/specimen/Exo;Exo Medium (Sans-Serif, Latin);exo-latin-500;Exo Medium (Sans-Serif, Latin) : exo-latin-500
exo-2;Exo 2;;500;Medium;sans-serif;latin;Latin;SIL Open Fonts License 1.1;Google Fonts;https://fonts.google.com/specimen/Exo+2;Exo 2 Medium (Sans-Serif, Latin);exo-2-latin-500;Exo 2 Medium (Sans-Serif, Latin) : exo-2-latin-500
fira-sans;Fira Sans;;500;Medium;sans-serif;latin;Latin;SIL Open Fonts License 1.1;Google Fonts;https://fonts.google.com/specimen/Fira+Sans;Fira Sans Medium (Sans-Serif, Latin);fira-sans-latin-500;Fira Sans Medium (Sans-Serif, Latin) : fira-sans-latin-500
fira-sans-condensed;Fira Sans Condensed;;500;Medium;sans-serif;latin;Latin;SIL Open Fonts License 1.1;Google Fonts;https://fonts.google.com/specimen/Fira+Sans+Condensed;Fira Sans Condensed Medium (Sans-Serif, Latin);fira-sans-condensed-latin-500;Fira Sans Condensed Medium (Sans-Serif, Latin) : fira-sans-condensed-latin-500
fira-sans-extra-condensed;Fira Sans Extra Condensed;;500;Medium;sans-serif;latin;Latin;SIL Open Fonts License 1.1;Google Fonts;https://fonts.google.com/specimen/Fira+Sans+Extra+Condensed;Fira Sans Extra Condensed Medium (Sans-Serif, Latin);fira-sans-extra-condensed-latin-500;Fira Sans Extra Condensed Medium (Sans-Serif, Latin) : fira-sans-extra-condensed-latin-500
