no-font-selected : Choose a font or stay with Nunito
abeezee-latin-italic : ABeeZee Italic (Sans-Serif, Latin)
abeezee-latin-regular : ABeeZee Regular (Sans-Serif, Latin)
abel-latin-regular : Abel Regular (Sans-Serif, Latin)
abhaya-libre-latin-500 : Abhaya Libre Medium (Serif, Latin)
abhaya-libre-latin-600 : Abhaya Libre Semi Bold (Serif, Latin)
abhaya-libre-latin-700 : Abhaya Libre Bold (Serif, Latin)
abhaya-libre-latin-800 : Abhaya Libre Extra Bold (Serif, Latin)
abhaya-libre-latin-ext_sinhala_latin-500 : Abhaya Libre Medium (Serif, Sinhala Latin Ext)
abhaya-libre-latin-ext_sinhala_latin-600 : Abhaya Libre Semi Bold (Serif, Sinhala Latin Ext)
abhaya-libre-latin-ext_sinhala_latin-700 : Abhaya Libre Bold (Serif, Sinhala Latin Ext)
abhaya-libre-latin-ext_sinhala_latin-800 : Abhaya Libre Extra Bold (Serif, Sinhala Latin Ext)
abhaya-libre-latin-ext_sinhala_latin-regular : Abhaya Libre Regular (Serif, Sinhala Latin Ext)
abhaya-libre-latin-regular : Abhaya Libre Regular (Serif, Latin)
abril-fatface-latin-regular : Abril Fatface Regular (Display, Latin)
aclonica-latin-regular : Aclonica Regular (Sans-Serif, Latin)
acme-latin-regular : Acme Regular (Sans-Serif, Latin)
actor-latin-regular : Actor Regular (Sans-Serif, Latin)
adamina-latin-regular : Adamina Regular (Serif, Latin)
advent-pro-latin-100 : Advent Pro Thin (Sans-Serif, Latin)
advent-pro-latin-200 : Advent Pro Ultra Light (Sans-Serif, Latin)
advent-pro-latin-300 : Advent Pro Light (Sans-Serif, Latin)
advent-pro-latin-500 : Advent Pro Medium (Sans-Serif, Latin)
advent-pro-latin-600 : Advent Pro Semi Bold (Sans-Serif, Latin)
advent-pro-latin-700 : Advent Pro Bold (Sans-Serif, Latin)
advent-pro-latin-regular : Advent Pro Regular (Sans-Serif, Latin)
aguafina-script-latin-regular : Aguafina Script Regular (Handwriting, Latin)
akronim-latin-regular : Akronim Regular (Display, Latin)
aladin-latin-regular : Aladin Regular (Handwriting, Latin)
aldrich-latin-regular : Aldrich Regular (Sans-Serif, Latin)
alef-latin_hebrew-700 : Alef Bold (Sans-Serif, Hebrew Latin)
alef-latin_hebrew-regular : Alef Regular (Sans-Serif, Hebrew Latin)
alef-latin-700 : Alef Bold (Sans-Serif, Latin)
alef-latin-regular : Alef Regular (Sans-Serif, Latin)
alegreya-latin-500 : Alegreya Medium (Serif, Latin)
alegreya-latin-500italic : Alegreya Medium Italic (Serif, Latin)
alegreya-latin-700 : Alegreya Bold (Serif, Latin)
alegreya-latin-700italic : Alegreya Bold Italic (Serif, Latin)
alegreya-latin-800 : Alegreya Extra Bold (Serif, Latin)
alegreya-latin-800italic : Alegreya Extra Bold Italic (Serif, Latin)
alegreya-latin-900 : Alegreya Black (Serif, Latin)
alegreya-latin-900italic : Alegreya Black Italic (Serif, Latin)
alegreya-latin-italic : Alegreya Italic (Serif, Latin)
alegreya-latin-regular : Alegreya Regular (Serif, Latin)
alegreya-sans-latin-100 : Alegreya Sans Thin (Sans-Serif, Latin)
alegreya-sans-latin-100italic : Alegreya Sans Thin Italic (Sans-Serif, Latin)
alegreya-sans-latin-300 : Alegreya Sans Light (Sans-Serif, Latin)
alegreya-sans-latin-300italic : Alegreya Sans Light Italic (Sans-Serif, Latin)
alegreya-sans-latin-500 : Alegreya Sans Medium (Sans-Serif, Latin)
alegreya-sans-latin-500italic : Alegreya Sans Medium Italic (Sans-Serif, Latin)
alegreya-sans-latin-700 : Alegreya Sans Bold (Sans-Serif, Latin)
alegreya-sans-latin-700italic : Alegreya Sans Bold Italic (Sans-Serif, Latin)
alegreya-sans-latin-800 : Alegreya Sans Extra Bold (Sans-Serif, Latin)
