roboto;Roboto;100;latin
roboto;Roboto;100;vietnamese
roboto;Roboto;100;cyrillic-ext_cyrillic
roboto;Roboto;100;latin-ext
roboto;Roboto;100;greek_greek-ext
roboto;Roboto;300;latin
roboto;Roboto;300;vietnamese
roboto;Roboto;300;cyrillic-ext_cyrillic
roboto;Roboto;300;latin-ext
roboto;Roboto;300;greek_greek-ext
alegreya-sans;Alegreya Sans;500;latin
alegreya-sans-sc;Alegreya Sans SC;500;latin
barlow;Barlow;500;latin
barlow-condensed;Barlow Condensed;500;latin
barlow-condensed;Barlow Condensed;500;latin
barlow-semi-condensed;Barlow Semi Condensed;500;latin
exo;Exo;500;latin
exo-2;Exo 2;500;latin
fira-sans;Fira Sans;500;latin
fira-sans-condensed;Fira Sans Condensed;500;latin
fira-sans-extra-condensed;Fira Sans Extra Condensed;500;latin
ibm-plex-mono;IBM Plex Mono;500;latin
ibm-plex-sans;IBM Plex Sans;500;latin
ibm-plex-sans-condensed;IBM Plex Sans Condensed;500;latin
ibm-plex-serif;IBM Plex Serif;500;latin
k2d;K2D;500;latin
kanit;Kanit;500;latin
kanit;Kanit;500;thai
kanit;Kanit;500;thai_latin
kanit;Kanit;500;thai_latin-ext_latin_vietnamese
libre-franklin;Libre Franklin;500;latin
montserrat;Montserrat;500;latin
montserrat-alternates;Montserrat Alternates;500;latin
poppins;Poppins;500;latin
prompt;Prompt;500;latin
raleway;Raleway;500;latin
roboto;Roboto;500;latin
roboto;Roboto;500;vietnamese
roboto;Roboto;500;cyrillic-ext_cyrillic
roboto;Roboto;500;latin-ext
roboto;Roboto;500;greek_greek-ext
spectral;Spectral;500;latin
spectral-sc;Spectral SC;500;latin
trirong;Trirong;500;latin
assistant;Assistant;600;latin
bai-jamjuree;Bai Jamjuree;600;latin
barlow;Barlow;600;latin
barlow-condensed;Barlow Condensed;600;latin
barlow-condensed;Barlow Condensed;600;latin
barlow-semi-condensed;Barlow Semi Condensed;600;latin
cairo;Cairo;600;latin
exo;Exo;600;latin
exo-2;Exo 2;600;latin
fahkwang;Fahkwang;600;latin
fira-sans;Fira Sans;600;latin
fira-sans-condensed;Fira Sans Condensed;600;latin
fira-sans-extra-condensed;Fira Sans Extra Condensed;600;latin
ibm-plex-mono;IBM Plex Mono;600;latin
ibm-plex-sans;IBM Plex Sans;600;latin
ibm-plex-sans-condensed;IBM Plex Sans Condensed;600;latin
ibm-plex-serif;IBM Plex Serif;600;latin
k2d;K2D;600;latin
kanit;Kanit;600;latin
kanit;Kanit;600;thai
kanit;Kanit;600;thai_latin
kanit;Kanit;600;thai_latin-ext_latin_vietnamese
kodchasan;Kodchasan;600;latin
koho;KoHo;600;latin
krub;Krub;600;latin
libre-franklin;Libre Franklin;600;latin
mali;Mali;600;latin
montserrat;Montserrat;600;latin
montserrat-alternates;Montserrat Alternates;600;latin
niramit;Niramit;600;latin
overpass;Overpass;600;latin
poppins;Poppins;600;latin
prompt;Prompt;600;latin
raleway;Raleway;600;latin
spectral;Spectral;600;latin
spectral-sc;Spectral SC;600;latin
trirong;Trirong;600;latin
alegreya-sans;Alegreya Sans;700;latin
alegreya-sans-sc;Alegreya Sans SC;700;latin
bai-jamjuree;Bai Jamjuree;700;latin
barlow;Barlow;700;latin
barlow-condensed;Barlow Condensed;700;latin
barlow-condensed;Barlow Condensed;700;latin
barlow-semi-condensed;Barlow Semi Condensed;700;latin
chakra-petch;Chakra Petch;700;latin
cormorant;Cormorant;700;latin
cormorant-garamond;Cormorant Garamond;700;latin
cormorant-infant;Cormorant Infant;700;latin
exo;Exo;700;latin
exo-2;Exo 2;700;latin
fahkwang;Fahkwang;700;latin
fira-sans;Fira Sans;700;latin
fira-sans-condensed;Fira Sans Condensed;700;latin
fira-sans-extra-condensed;Fira Sans Extra Condensed;700;latin
ibm-plex-mono;IBM Plex Mono;700;latin
ibm-plex-sans;IBM Plex Sans;700;latin
ibm-plex-sans-condensed;IBM Plex Sans Condensed;700;latin
ibm-plex-serif;IBM Plex Serif;700;latin
josefin-sans;Josefin Sans;700;latin
josefin-slab;Josefin Slab;700;latin
k2d;K2D;700;latin
kanit;Kanit;700;latin
kanit;Kanit;700;thai
kanit;Kanit;700;thai_latin
kanit;Kanit;700;thai_latin-ext_latin_vietnamese
kodchasan;Kodchasan;700;latin
koho;KoHo;700;latin
krub;Krub;700;latin
libre-franklin;Libre Franklin;700;latin
mali;Mali;700;latin
montserrat;Montserrat;700;latin
montserrat-alternates;Montserrat Alternates;700;latin
muli;Muli;700;latin
niramit;Niramit;700;latin
nunito;Nunito;700;latin
nunito-sans;Nunito Sans;700;latin
overpass;Overpass;700;latin
poppins;Poppins;700;latin
prompt;Prompt;700;latin
raleway;Raleway;700;latin
roboto;Roboto;700;latin
roboto;Roboto;700;vietnamese
roboto;Roboto;700;cyrillic-ext_cyrillic
roboto;Roboto;700;latin-ext
roboto;Roboto;700;greek_greek-ext
roboto-mono;Roboto Mono;700;latin
source-sans-pro;Source Sans Pro;700;latin
spectral;Spectral;700;latin
spectral-sc;Spectral SC;700;latin
titillium-web;Titillium Web;700;latin
trirong;Trirong;700;latin
zilla-slab;Zilla Slab;700;latin
alegreya-sans;Alegreya Sans;800;latin
alegreya-sans-sc;Alegreya Sans SC;800;latin
assistant;Assistant;800;latin
barlow;Barlow;800;latin
barlow-condensed;Barlow Condensed;800;latin
barlow-condensed;Barlow Condensed;800;latin
barlow-semi-condensed;Barlow Semi Condensed;800;latin
eb-garamond;EB Garamond;800;latin
exo;Exo;800;latin
exo-2;Exo 2;800;latin
fira-sans;Fira Sans;800;latin
fira-sans-condensed;Fira Sans Condensed;800;latin
fira-sans-extra-condensed;Fira Sans Extra Condensed;800;latin
k2d;K2D;800;latin
kanit;Kanit;800;latin
kanit;Kanit;800;thai
kanit;Kanit;800;thai_latin
kanit;Kanit;800;thai_latin-ext_latin_vietnamese
libre-franklin;Libre Franklin;800;latin
montserrat;Montserrat;800;latin
montserrat-alternates;Montserrat Alternates;800;latin
muli;Muli;800;latin
nunito;Nunito;800;latin
nunito-sans;Nunito Sans;800;latin
open-sans;Open Sans;800;latin
open-sans;Open Sans;800;greek-ext
open-sans;Open Sans;800;cyrillic-ext
open-sans;Open Sans;800;latin-ext
open-sans;Open Sans;800;vietamese
overpass;Overpass;800;latin
poppins;Poppins;800;latin
prompt;Prompt;800;latin
proza-libre;Proza Libre;800;latin
raleway;Raleway;800;latin
spectral;Spectral;800;latin
spectral-sc;Spectral SC;800;latin
trirong;Trirong;800;latin
alegreya;Alegreya;900;latin
alegreya-sans;Alegreya Sans;900;latin
alegreya-sans-sc;Alegreya Sans SC;900;latin
alegreya-sc;Alegreya SC;900;latin
barlow;Barlow;900;latin
barlow-condensed;Barlow Condensed;900;latin
barlow-condensed;Barlow Condensed;900;latin
barlow-semi-condensed;Barlow Semi Condensed;900;latin
catamaran;Catamaran;900;latin
encode-sans;Encode Sans;900;latin
encode-sans-condensed;Encode Sans Condensed;900;latin
encode-sans-expanded;Encode Sans Expanded;900;latin
encode-sans-semi-condensed;Encode Sans Semi Condensed;900;latin
encode-sans-semi-expanded;Encode Sans Semi Expanded;900;latin
exo;Exo;900;latin
exo-2;Exo 2;900;latin
fira-sans;Fira Sans;900;latin
fira-sans-condensed;Fira Sans Condensed;900;latin
fira-sans-extra-condensed;Fira Sans Extra Condensed;900;latin
gothic-a9;Gothic A9;900;latin
kanit;Kanit;900;latin
kanit;Kanit;900;thai
kanit;Kanit;900;thai_latin
kanit;Kanit;900;thai_latin-ext_latin_vietnamese
lato;Lato;900;latin
libre-franklin;Libre Franklin;900;latin
montserrat;Montserrat;900;latin
montserrat-alternates;Montserrat Alternates;900;latin
muli;Muli;900;latin
nunito;Nunito;900;latin
nunito-sans;Nunito Sans;900;latin
overpass;Overpass;900;latin
poppins;Poppins;900;latin
prompt;Prompt;900;latin
raleway;Raleway;900;latin
roboto;Roboto;900;latin
roboto;Roboto;900;vietnamese
roboto;Roboto;900;cyrillic-ext_cyrillic
roboto;Roboto;900;latin-ext
roboto;Roboto;900;greek_greek-ext
rokkitt;Rokkitt;900;latin
rubik;Rubik;900;latin
saira;Saira;900;latin
saira-condensed;Saira Condensed;900;latin
saira-extra-condensed;Saira Extra Condensed;900;latin
saira-semi-condensed;Saira Semi Condensed;900;latin
source-sans-pro;Source Sans Pro;900;latin
titillium-web;Titillium Web;900;latin
trirong;Trirong;900;latin
work-sans;Work Sans;900;latin
advent-pro;Advent Pro;100;latin
alegreya-sans;Alegreya Sans;100;latin
alegreya-sans-sc;Alegreya Sans SC;100;latin
arima-madurai;Arima Madurai;100;latin
barlow;Barlow;100;latin
barlow-condensed;Barlow Condensed;100;latin
barlow-condensed;Barlow Condensed;100;latin
barlow-semi-condensed;Barlow Semi Condensed;100;latin
catamaran;Catamaran;100;latin
chathura;Chathura;100;latin
encode-sans;Encode Sans;100;latin
encode-sans-condensed;Encode Sans Condensed;100;latin
encode-sans-expanded;Encode Sans Expanded;100;latin
encode-sans-semi-condensed;Encode Sans Semi Condensed;100;latin
encode-sans-semi-expanded;Encode Sans Semi Expanded;100;latin
exo;Exo;100;latin
exo-2;Exo 2;100;latin
fira-sans;Fira Sans;100;latin
fira-sans-condensed;Fira Sans Condensed;100;latin
